Time: 310337.916; State:  4; ID:  2; absPos(-7.320, 29.420); absVel(-6.500, 12.625); Ellipse(11.66x 9.67); size(0.922)
Time: 310337.924; State:  4; ID:  2; absPos(-7.350, 29.460); absVel(-3.000,  3.875); Ellipse(11.75x 9.67); size(0.941)
Time: 310337.932; State:  4; ID:  2; absPos(-7.350, 29.450); absVel( 0.000, -0.750); Ellipse(11.96x 9.56); size(0.957)
Time: 310337.940; State:  4; ID:  2; absPos(-7.350, 29.410); absVel( 0.375, -4.375); Ellipse(11.89x 9.67); size(0.973)
Time: 310337.948; State:  4; ID:  2; absPos(-7.330, 29.370); absVel( 2.125, -5.500); Ellipse(11.85x 9.68); size(0.984)
Time: 310337.956; State:  4; ID:  2; absPos(-7.310, 29.320); absVel( 2.625, -6.000); Ellipse(11.83x 9.68); size(0.984)
Time: 310337.964; State:  4; ID:  2; absPos(-7.280, 29.280); absVel( 2.875, -5.375); Ellipse(11.82x 9.70); size(0.984)
Time: 310337.972; State:  4; ID:  2; absPos(-7.270, 29.250); absVel( 1.625, -3.500); Ellipse(11.82x 9.69); size(0.984)
Time: 310337.980; State:  4; ID:  2; absPos(-7.260, 29.220); absVel( 1.125, -4.000); Ellipse(11.86x 9.79); size(0.984)
Time: 310337.988; State:  4; ID:  2; absPos(-7.260, 29.200); absVel( 0.500, -2.250); Ellipse(11.80x 9.84); size(0.988)
Time: 310337.996; State:  4; ID:  2; absPos(-7.260, 29.190); absVel( 0.000, -1.250); Ellipse(11.75x 9.82); size(0.992)
Time: 310338.004; State:  4; ID:  2; absPos(-7.270, 29.190); absVel(-1.500, -0.125); Ellipse(11.86x 9.71); size(0.988)
Time: 310338.012; State:  4; ID:  2; absPos(-7.280, 29.190); absVel(-1.750,  0.000); Ellipse(11.81x 9.79); size(0.992)
Time: 310338.020; State:  4; ID:  2; absPos(-7.310, 29.200); absVel(-2.625,  1.375); Ellipse(11.97x 9.80); size(0.992)
Time: 310338.028; State:  4; ID:  2; absPos(-7.340, 29.220); absVel(-4.500,  2.500); Ellipse(11.85x 9.76); size(0.977)
Time: 310338.036; State:  4; ID:  2; absPos(-7.390, 29.240); absVel(-5.625,  2.625); Ellipse(11.62x 9.76); size(0.973)
Time: 310338.044; State:  4; ID:  2; absPos(-7.440, 29.260); absVel(-6.250,  2.625); Ellipse(11.55x 9.72); size(0.965)
Time: 310338.052; State:  4; ID:  2; absPos(-7.490, 29.290); absVel(-6.125,  2.625); Ellipse(11.51x 9.83); size(0.969)
